country,year,population,eci_trade,outlook_eci_trade,fitness_trade,outlook_fitness_trade,exports,eci_publications,outlook_eci_publications,fitness_publications,outlook_fitness_publications,documents,citations,eci_patents,outlook_eci_patents,fitness_patents,outlook_fitness_patents,patents,eci_services,outlook_eci_services,fitness_services,outlook_fitness_services,service_exports,eci_similarity_trade,eci_similarity_publications,eci_similarity_patents,gdp_start,gdp_end,growth,hum_cap,eci_similarity_services,entropy_trade,entropy_publications,entropy_patents,entropy_services,hhi_trade,hhi_publications,hhi_patents,hhi_services,nat_res,eci_similarity_wo_trade,eci_similarity_wo_publications,eci_similarity_wo_patents,fitness_similarity_trade,fitness_similarity_publications,fitness_similarity_patents,fitness_similarity_wo_trade,fitness_similarity_wo_publications,fitness_similarity_wo_patents,eci_innovation,eci_similarity_innovation,eci_similarity_wo_innovation
ARE,1999,2966029,0.562016041571671,-10.0232683769247,0.721826106613116,83.1488510784493,0.817143691285818,0.438768817766432,-8.67052569810573,0.604890144473407,19.0687881021237,0.658060052334573,18285,0.444995351747775,-1.40750112631362,0.945408542264741,18.4701620173848,0.41965496902753,NaN,NaN,NaN,NaN,NaN,0.620152095354889,0.46681955803082,0.296794671204496,97698.5373936066,58374.6153349057,-5.15005462138529,9.338,NaN,0.610806139219754,0.94957563937339,0.639361615982143,0.639361615982143,0.340190795556167,0.0367496508887653,0.343253173378328,0.343253173378328,9.99179420702232,0.637416860369818,0.466828166596769,0.387312619393327,0.62845224306152,0.629890485342689,0.162294785484431,0.621260918882004,0.626565569315342,0.939687343553032,0.355811364082006,0.351047027775183,0.337501030324587
ARG,1999,36467218,0.650170483342078,-6.03633857090711,0.819494166859685,154.906349926616,0.487002246243422,0.505760446376087,-1.16908519257986,0.735662229979639,40.3169131882577,0.708578113419101,204296.75,0.498353372532235,0.134741923018916,0.964001591341454,38.4594493825516,0.31110476195435,0.256409995423292,0.611012765079047,0.368469644768669,3.97042820650583,0.665830245025664,0.674956278312577,0.545585501740705,0.663955258789093,18981.1683827308,21519.8936160174,1.25530441874133,8.818,0.350680675148318,0.970669390239612,0.992165161257459,0.577225382622609,0.577225382622609,0.021051053747645,0.00553744972905139,0.417092730484715,0.417092730484715,6.78740984859203,0.70957391458425,0.530165650389803,0.607319410784077,0.817073523469187,0.736822248098583,0.954585297894826,0.849604509485191,0.729486032848421,0.946753847745192,0.467899644530614,0.395873651559153,0.391760144843236
AUS,1999,18926000,0.680386042296351,0.0702928424420381,0.865813657457557,185.92664640581,0.699653805591001,0.913043669442222,-11.6572485079887,0.918994803822825,86.2984375091241,0.950305243789618,1876643.25,0.966047761296116,-21.1535708159226,0.998241634926879,168.44748765888,0.844272210826555,0.57894048834653,-0.11863241524305,0.583809358642852,4.96737620873406,0.896698024763518,0.71630652455788,0.887253875445563,0.964101454929475,37219.6411141269,44649.1607704338,1.81998902528964,12.036,0.387807924822115,0.964313784632148,1,0.979564998501465,0.979564998501465,0.0260549600233544,0,0.0195156056460827,0.0195156056460827,8.43736172194462,0.760851240581652,0.890333937686199,0.954873163790214,0.839950926662365,0.915961495742163,0.979589871371,0.858035412323338,0.922049243559132,0.97408046187627,0.506425608619569,0.62125277933217,0.667230196473926
AUT,1999,7992324,0.90640996284554,-46.3721534692339,0.944140523165749,299.45033506822,0.821637096996135,0.696784398045098,-6.20315199684476,0.790858939170513,53.6404399512012,0.91819810635448,669156,0.976328610318798,-18.8994595899204,0.997142565331136,159.604786681807,0.854886656993594,0.388202319198582,0.426328024521251,0.375014688757054,4.22519034208979,0.904830535664931,0.877554884650973,0.671146867513474,0.95479613825073,45060.6187543953,51030.7246778186,1.2441922929206,10.496,0.253831450856953,0.999511099052183,0.994481911870172,0.994423348984479,0.994423348984479,0.00035688890617897,0.0039305998677127,0.0052986172270773,0.0052986172270773,8.44742613502986,0.809626823613428,0.667859451784392,0.944677704328961,1.00238991692523,0.793886924004416,0.979849941232203,0.964638894107944,0.795181722856347,0.972286769404832,0.715193545027169,0.782535329071906,0.693139391022091
BEL,1999,10226419,0.839288154203898,-25.7215882974118,0.94644312935624,297.296739611865,0.734554394261632,0.708776098708467,0.513592165855078,0.831888288487546,69.1172235667421,0.937997685031814,977929.5,0.87600395412831,5.70153453076091,0.993515228533458,129.758759802691,0.863693765235953,0.634644421556697,-0.200508146856152,0.451288546157588,5.10818688555677,0.92181352282607,0.861369469485891,0.734292386363467,0.919618288504084,41583.0973922951,47064.7900198376,1.23831391481713,10.114,0.421702486037703,0.982417204220191,0.994197273555854,0.892271591862021,0.892271591862021,0.0128796215489342,0.0041661957884191,0.102726488182807,0.102726488182807,9.25329362790899,0.794518858667251,0.693571945429855,0.922883667929091,0.98881425531468,0.837660908417662,0.977422284063362,0.954826975445007,0.807006510300085,0.971048644809114,0.622325271430433,0.818795744703178,0.60844173683421
BGR,1999,8210624,0.662937927851942,2.57368742232628,0.883621161758701,251.434706782417,0.458788799597072,0.449440044047776,-7.22428131109512,0.690245791148392,27.3349086726747,0.778411531252055,76289.25,0.731104775012648,1.06374866271872,0.977083227329924,62.7055912077654,0.495977874164393,0.664033497138008,-0.215634606357472,0.393104905868095,4.69814312836815,0.448872142776704,0.672828044151712,0.513084952729225,0.735004458021849,9993.44624691942,17767.5090366629,5.75441951491395,9.856,0.602030956916126,0.992179321769114,0.98423547160941,0.905643008102398,0.905643008102398,0.00557365772916855,0.0111323007000147,0.0890836116770945,0.0890836116770945,6.67632982698808,0.767644415505713,0.51429632027386,0.743071610680619,0.874713536489674,0.703713027207761,0.961251571739229,0.892427246259248,0.701079009380268,0.956317876470552,0.48300725571992,0.593317249146255,0.590815141885271
BLR,1999,10026738,0.727822578371169,-8.73958312887977,0.859203839483306,224.173931072256,0.408265559976064,0.441416792818661,-9.12153617200655,0.624303747897519,16.723478551578,0.708777915696495,29592.75,0.696858119779889,-1.20180872318577,0.974313910269673,41.4677487282264,0.403627693620131,NaN,NaN,NaN,NaN,NaN,0.679661474923578,0.448308589711512,0.6741684867013,7575.91832595163,16014.1155277101,7.48495978597639,10.048,NaN,0.978452032067692,0.959186011014552,0.861677171115855,0.861677171115855,0.0155850387506112,0.0291568402594273,0.13072682233979,0.13072682233979,6.80142313422578,0.685714509109839,0.449150481210957,0.678934220239566,0.817620557616411,0.634174696655378,0.958556115507869,0.853888706047426,0.64341239095783,0.950978144566795,0.535389945512252,0.641124699422079,0.585465265145921
BRA,1999,172318674,0.698084979339585,-2.99234708516265,0.870987210421106,199.701675334687,0.364634475447953,0.567258932482189,-4.88585500697332,0.748673819137045,43.744255215019,0.64428461421919,442382.75,0.872877272381945,3.14268659848563,0.990777780892303,125.174610980662,0.350345462528016,0.581658905604445,0.226758111817897,0.68103148592804,4.39279182455976,0.596718484345507,0.694097383135715,0.52618898655002,0.864453146137481,11272.7067288664,13962.2588798839,2.13973424758459,6.164,0.440720274799072,0.984564592342051,0.994649855636876,0.9443128198238,0.9443128198238,0.0109776062090175,0.00376062647794175,0.052680518983131,0.052680518983131,6.08709058810555,0.706760049015364,0.542302954172426,0.860697361583302,0.881451720934502,0.732398352055984,0.973232172334658,0.882854032141009,0.736068578166207,0.966591055117867,0.523698250109903,0.549435263457326,0.481713595388905
CAN,1999,30401286,0.79210240216651,-3.26421752495968,0.875428543003198,196.429426180613,0.813886726979082,0.90964575354763,-18.8702222491089,0.941174071093263,84.1994997762501,0.95250779117342,3484223.25,0.93387353568405,-3.51159489063645,0.997677072260934,154.183807486333,0.82848956128418,0.803735338989379,-0.374723894600172,0.63501108659987,4.39891583780711,0.864118787250478,0.810900398681226,0.939132638942475,0.949166011111668,35782.6902642664,44003.6170419636,2.06807571733125,12.334,0.682289921522559,0.96725229091026,0.999358490949571,0.917122381057094,0.917122381057094,0.0241133958483324,0.000445285803874479,0.0791247381316721,0.0791247381316721,8.59015918577258,0.826977736272146,0.891433495271923,0.94936097608677,0.881254898788223,0.955340608935252,0.978256292642783,0.88265374459913,0.91416561520682,0.971935892760182,0.656019778613135,0.920677187933085,0.958087926548724
CHE,1999,7143991,0.956961251479026,-28.5919307331015,0.940313122288795,244.089298172921,0.898074120988912,0.638799521851967,-0.293805790116167,0.782164232626864,55.4260155870915,1,1670854.25,0.980045431024544,-21.6900756846048,0.998591073984925,156.334094527062,0.960779307850293,0.805497627072627,-0.221860590176511,0.557260169170437,3.97411306048868,1,0.927097389527917,0.666080855323533,0.959286367065095,57440.0535738178,64404.0798614014,1.1443512555743,11.892,0.764496493939295,0.986601783627509,0.992186302843356,0.963923886209045,0.963923886209045,0.00966116413188054,0.00557324641522471,0.0342426650253354,0.0342426650253354,8.6572972786226,0.895272027612711,0.650271423428225,0.944677704328961,0.999025133905532,0.800629002924238,0.979600655866128,0.974075574936073,0.794072969780495,0.972286769404832,0.69033405122129,0.889565633308064,0.849835799349053
