country,year,population,eci_trade,exports,fitness_trade,eci_publications,fitness_publications,documents,citations,eci_patents,fitness_patents,patents,eci_services,fitness_services,service_exports,gdp_start,embodied_emissions,hum_cap,eci_similarity_trade,eci_similarity_publications,eci_similarity_patents,eci_similarity_services,entropy_trade,entropy_publications,entropy_patents,entropy_services,hhi_trade,hhi_publications,hhi_patents,hhi_services,nat_res,eci_similarity_wo_trade,eci_similarity_wo_publications,eci_similarity_wo_patents,fitness_similarity_trade,fitness_similarity_publications,fitness_similarity_patents,fitness_similarity_wo_trade,fitness_similarity_wo_publications,fitness_similarity_wo_patents,eci_innovation,eci_similarity_innovation,eci_similarity_wo_innovation
ARE,1999,2747431.25,0.562016041571671,0.824003659431613,0.721826106613116,0.438768817766432,0.604890144473407,0.664220369216753,18285,0.444995351747775,0.945408542264741,0.446728847219036,NaN,NaN,NaN,101279.902038773,-8.10729032362489,9.29,0.6129128109599,0.467685900305152,0.279979251631107,NaN,0.610806139219754,0.94957563937339,0.639361615982143,0.610806139219754,0.340190795556167,0.0367496508887653,0.343253173378328,0.340190795556167,8.78303616786395,0.632686531679533,0.471527186969171,0.388581709233991,0.624041234904471,0.637306565657608,0.24462209566125,0.622768325049579,0.636415745682232,0.929362313004759,0.355811364082006,0.351047027775183,0.337501030324587
ARG,1999,35858620.75,0.650170483342078,0.485867895942264,0.819494166859685,0.505760446376087,0.735662229979639,0.708842301733744,204296.75,0.529086774141154,0.965642987358439,0.278178537157611,0.256409995423292,0.368469644768669,0.6669088319864,19074.9120713179,-8.46599169790726,8.71,0.673439399927344,0.544853708674026,0.561490441827707,0.208150565694946,0.970669390239612,0.992165161257459,0.568459842223951,0.970669390239612,0.021051053747645,0.00553744972905139,0.425945864733865,0.021051053747645,6.30918601221153,0.70899251484927,0.532206638887491,0.576460488160182,0.816309815428767,0.736148081589057,0.958700518057572,0.849341301931111,0.730026288635832,0.944461736587348,0.467899644530614,0.395873651559153,0.391760144843236
AUS,1999,18616250,0.680386042296351,0.698104700183407,0.865813657457557,0.913043669442222,0.918994803822825,0.951255211192296,1876643.25,0.970751028471394,0.998909689680572,0.857455508360122,0.57894048834653,0.583809358642852,0.89821102105441,35368.5069372599,-7.73378865610492,11.925,0.719107252691873,0.879589742369926,0.96353335973208,0.386818187747427,0.964313784632148,1,0.985077724434586,0.964313784632148,0.0260549600233544,0,0.0142338164805442,0.0260549600233544,7.75183498270134,0.763218214846932,0.877260041117987,0.953094055273834,0.83962959052799,0.901734006141064,0.972023512429481,0.857706830163332,0.905170726279417,0.958156463043992,0.506425608619569,0.62125277933217,0.667230196473926
AUT,1999,7974042.75,0.90640996284554,0.817839022410757,0.944140523165749,0.696784398045098,0.790858939170513,0.917613884252744,669156,0.971462413798544,0.997896676989146,0.857887771741285,0.388202319198582,0.375014688757054,0.904092384792146,43028.6365258016,-8.17702445077528,10.415,0.897192440469675,0.667867475235058,0.969865752598496,0.267045218403648,0.999511099052183,0.994481911870172,0.993159240367575,0.999511099052183,0.00035688890617897,0.0039305998677127,0.00640165747803347,0.00035688890617897,7.7972716054016,0.814798325183149,0.664121958234178,0.96128913944701,1.00520960362163,0.788895356367882,0.971966388210145,0.963483691033703,0.789779315393012,0.957395175000871,0.715193545027169,0.782535329071906,0.693139391022091
BEL,1999,10191827.25,0.839288154203898,0.731064415356405,0.94644312935624,0.708776098708467,0.831888288487546,0.937583541722524,977929.5,0.868055434300896,0.996325846835988,0.859314389733977,0.634644421556697,0.451288546157588,0.92128648140519,39901.6644879216,-7.75348480491382,10.03,0.879317017133455,0.729731792076321,0.929870960866709,0.560155400550221,0.982417204220191,0.994197273555854,0.909244508225446,0.982417204220191,0.0128796215489342,0.0041661957884191,0.0862632931587261,0.0128796215489342,8.70087954427104,0.798821673538169,0.688755396893633,0.932016527968356,0.991371434450597,0.829357487228307,0.971260173661569,0.953747855600318,0.800534462959593,0.957003667293551,0.622325271430433,0.818795744703178,0.60844173683421
BGR,1999,8285576,0.662937927851942,0.453986644375673,0.883621161758701,0.449440044047776,0.690245791148392,0.776259797548965,76289.25,0.690408452972088,0.986174667224101,0.482196159059271,0.664033497138008,0.393104905868095,0.445356799195264,10810.1589871124,-7.58742704062515,9.775,0.671088945138507,0.513012585215407,0.665340484904563,0.706810842221305,0.992179321769114,0.98423547160941,0.865304486287493,0.992179321769114,0.00557365772916855,0.0111323007000147,0.127299796777123,0.00557365772916855,5.71260399738947,0.770401987758227,0.517003283842745,0.63572255463074,0.875064392117562,0.705543839221625,0.960378129626821,0.891831984167833,0.704188891491825,0.946838964161914,0.48300725571992,0.593317249146255,0.590815141885271
BLR,1999,10093925.75,0.727822578371169,0.403896194779737,0.859203839483306,0.441416792818661,0.624303747897519,0.706662910443667,29592.75,0.742344771876179,0.987466759655605,0.437533945224054,NaN,NaN,NaN,6889.08103244647,-7.11035967257426,9.925,0.678635891981699,0.449550513503363,0.737811335272238,NaN,0.978452032067692,0.959186011014552,0.898246163278038,0.978452032067692,0.0155850387506112,0.0291568402594273,0.0954047885587167,0.0155850387506112,4.98428319765373,0.683761227175581,0.454591366406726,0.69977161517689,0.816867427373494,0.641266641969859,0.961909342975837,0.853592278129247,0.651738647142823,0.947094825316304,0.535389945512252,0.641124699422079,0.585465265145921
BRA,1999,168481913.75,0.698084979339585,0.364527324819257,0.870987210421106,0.567258932482189,0.748673819137045,0.644933319803118,442382.75,0.874805291614927,0.99465175608512,0.333346187044575,0.581658905604445,0.68103148592804,0.598559103514297,11376.4577529417,-8.6495769129863,6.035,0.694579132726705,0.525850742458426,0.89046547437624,0.518965119895778,0.984564592342051,0.994649855636876,0.960236540088603,0.984564592342051,0.0109776062090175,0.00376062647794175,0.0374122320882517,0.0109776062090175,5.27873226421837,0.706016855974626,0.543834586465932,0.877471335573224,0.881932870349275,0.732058888818786,0.969192300428581,0.882333002324883,0.736013393824264,0.955040139945147,0.523698250109903,0.549435263457326,0.481713595388905
CAN,1999,30018156.25,0.79210240216651,0.811592384342419,0.875428543003198,0.90964575354763,0.941174071093263,0.953077675790124,3484223.25,0.926694964905656,0.998386509955018,0.827891002913819,0.803735338989379,0.63501108659987,0.864953514502656,34838.0786731971,-7.56783094612687,12.25,0.823578193209719,0.930415902654239,0.969921725221192,0.768315054035653,0.96725229091026,0.999358490949571,0.939807713087466,0.96725229091026,0.0241133958483324,0.000445285803874479,0.0572777507945737,0.0241133958483324,8.04843577479646,0.833146890874054,0.878313454478587,0.958501051702969,0.881732242325761,0.93813377309269,0.971705880411876,0.882134267845514,0.898000230683397,0.957574603791185,0.656019778613135,0.920677187933085,0.958087926548724
CHE,1999,7103687,0.956961251479026,0.894626804103517,0.940313122288795,0.638799521851967,0.782164232626864,1,1670854.25,0.963883105798176,0.998735099933769,0.958267611500541,0.805497627072627,0.557260169170437,1,55868.0835931382,-8.23069337437724,11.835,0.951907950623699,0.662904250782271,0.96378566601763,0.640214811829125,0.986601783627509,0.992186302843356,0.969996750302826,0.986601783627509,0.00966116413188054,0.00557324641522471,0.0283589974371892,0.00966116413188054,8.11318895634352,0.905368007746919,0.647272032138859,0.961814528439609,1.00177975703395,0.795127342858987,0.972043564788923,0.972847198288109,0.788770857270409,0.957496812893581,0.69033405122129,0.889565633308064,0.849835799349053
CHL,1999,14878532.75,0.604599550719569,0.54319266727293,0.788284162441156,0.530038875162628,0.735723560591083,0.697593445009026,110084.75,0.406010024949679,0.736286054387431,0.32217329788388,0.545125094377042,0.624135264418039,0.633184058277651,14778.3325522003,-8.29917181927895,9.775,0.627318970963119,0.502021036086714,0.303833898633658,0.505697258031788,0.896955693047594,0.986140978586261,0.689151171358898,0.896955693047594,0.0792542496193022,0.00992657724461405,0.296525147442077,0.0792542496193022,6.89306683772165,0.633841321800614,0.512511617376306,0.320655416493668,0.785536767681559,0.724823079846034,0.588751331784321,0.787734793435049,0.726655486732218,0.571395986435976,0.429187270644178,0.41037754184551,0.482726882576505
CHN,1999,1235573750,0.631225816996281,0.282834982736852,0.961237288624162,0.535948439303503,0.735801017499027,0.560065717791784,618704,0.848296502200412,0.994355067522553,0.148972907780804,0.511128749808441,0.256224099516626,0.299418631586765,2906.30798198093,-7.06984710939088,6.89,0.704451441408476,0.558304189735363,0.891250467317505,0.386846717786242,0.997988252536392,0.984506316623525,0.942623652862794,0.997988252536392,0.0014197315854321,0.0109014550856511,0.054635216396905,0.0014197315854321,3.85158534957338,0.768502366153475,0.526332513186155,0.894576018498237,0.950896066855597,0.720947933951146,0.969594370454959,0.957539386040606,0.714839304744335,0.955293672318378,0.453037357223338,0.519902969505822,0.521923346114467
